n=2,n=4,n=8,n=16,n=32,n=64,n=128,n=256,n=512,n=1024,n=2048,n=4096,n=8192,n=16384,n=32768,n=65536,n=131072,n=262144,n=524288
0.5,0.25,0.125,0.1875,0.125,0.109375,0.0703125,0.0859375,0.0703125,0.0634765625,0.052734375,0.0439453125,0.039794921875,0.03228759765625,0.02935791015625,0.0247802734375,0.0220794677734375,0.01909637451171875,0.01654052734375
0.5,0.25,0.125,0.0625,0.09375,0.078125,0.0546875,0.0703125,0.05078125,0.041015625,0.037109375,0.030029296875,0.027587890625,0.02374267578125,0.020904541015625,0.0180816650390625,0.0160980224609375,0.013866424560546875,0.011962890625
0.0,0.0,0.125,0.0625,0.125,0.109375,0.1015625,0.09375,0.08984375,0.08203125,0.0712890625,0.059814453125,0.0531005859375,0.04827880859375,0.041473388671875,0.0365447998046875,0.031951904296875,0.02796173095703125,0.024290084838867188
0.0,0.0,0.125,0.1875,0.125,0.125,0.1171875,0.09375,0.095703125,0.0947265625,0.08447265625,0.0771484375,0.069091796875,0.0606689453125,0.05352783203125,0.0454864501953125,0.0396270751953125,0.034557342529296875,0.030443191528320312
0.0,0.25,0.25,0.25,0.15625,0.09375,0.078125,0.0625,0.052734375,0.048828125,0.044921875,0.037109375,0.0338134765625,0.03143310546875,0.02716064453125,0.024261474609375,0.02154541015625,0.01868438720703125,0.01636505126953125
0.0,0.25,0.25,0.25,0.15625,0.15625,0.109375,0.109375,0.11328125,0.09765625,0.0810546875,0.067138671875,0.0555419921875,0.046875,0.039642333984375,0.033599853515625,0.02901458740234375,0.025669097900390625,0.022356033325195312
0.5,0.25,0.25,0.25,0.1875,0.171875,0.2109375,0.18359375,0.17578125,0.16015625,0.1279296875,0.111083984375,0.0968017578125,0.08441162109375,0.071990966796875,0.0631561279296875,0.05516815185546875,0.0484771728515625,0.042057037353515625
0.0,0.25,0.125,0.125,0.15625,0.109375,0.0859375,0.1015625,0.091796875,0.0830078125,0.07861328125,0.0712890625,0.0634765625,0.052978515625,0.045867919921875,0.040069580078125,0.03456878662109375,0.03021240234375,0.026119232177734375
0.5,0.25,0.125,0.125,0.125,0.109375,0.078125,0.08203125,0.078125,0.0625,0.0498046875,0.0400390625,0.035888671875,0.034423828125,0.029327392578125,0.025360107421875,0.02210235595703125,0.019287109375,0.016866683959960938
0.0,0.0,0.0,0.1875,0.25,0.21875,0.171875,0.17578125,0.138671875,0.1240234375,0.11181640625,0.1005859375,0.0889892578125,0.07684326171875,0.067840576171875,0.0591278076171875,0.05095672607421875,0.044071197509765625,0.038311004638671875
