theta_idx_l,theta_idx_m,den,num_1|1|1|1|1|1|1|1|1,num_1|1|1|1|1|1|1|2,num_1|1|1|1|1|1|3,num_1|1|1|1|1|2|2,num_1|1|1|1|1|4,num_1|1|1|1|2|3,num_1|1|1|1|5,num_1|1|1|2|2|2,num_1|1|1|2|4,num_1|1|1|3|3,num_1|1|1|6,num_1|1|2|2|3,num_1|1|2|5,num_1|1|3|4,num_1|1|7,num_1|2|2|2|2,num_1|2|2|4,num_1|2|3|3,num_1|2|6,num_1|3|5,num_1|4|4,num_1|8,num_2|2|2|3,num_2|2|5,num_2|3|4,num_2|7,num_3|3|3,num_3|6,num_4|5,num_9
6,3,84,0,0,0,0,10,4,30,1,21,18,45,11,45,43,35,4,38,35,50,55,56,0,22,70,76,0,81,0,0,0
6,4,84,0,0,20,10,40,34,40,27,46,47,20,49,30,34,0,48,44,48,0,0,0,0,62,0,0,0,0,0,0,0
6,5,84,0,35,45,50,30,40,10,48,16,18,0,24,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,6,84,84,49,19,24,4,6,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,0,0,0,1,0,0,0,36
7,2,36,0,0,0,0,0,0,0,0,0,0,3,0,1,1,14,0,0,0,9,8,8,28,0,2,1,35,0,36,36,0
7,3,36,0,0,0,0,0,0,6,0,3,3,18,1,15,14,21,0,10,9,27,28,28,0,3,34,35,0,36,0,0,0
7,4,36,0,0,0,0,10,6,20,3,19,18,15,16,20,21,0,12,26,27,0,0,0,0,33,0,0,0,0,0,0,0
7,5,36,0,0,15,10,20,21,10,21,14,15,0,19,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,6,36,0,21,18,22,6,9,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,7,36,36,15,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9
8,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,1,8,0,0,0,9,0,9,9,0
8,3,9,0,0,0,0,0,0,0,0,0,0,3,0,2,2,7,0,1,1,8,8,8,0,0,9,9,0,9,0,0,0
8,4,9,0,0,0,0,0,0,4,0,3,3,6,2,7,7,0,1,8,8,0,0,0,0,9,0,0,0,0,0,0,0
8,5,9,0,0,0,0,5,4,5,3,6,6,0,7,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,6,9,0,0,6,5,4,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,7,9,0,7,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,8,9,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0
9,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,1,0,0,0
9,4,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
9,5,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,6,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,7,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
