theta_idx_l,theta_idx_m,den,num_1|1|1|1|1|1|1|1|1|1|1|1,num_1|1|1|1|1|1|1|1|1|1|2,num_1|1|1|1|1|1|1|1|1|3,num_1|1|1|1|1|1|1|1|2|2,num_1|1|1|1|1|1|1|1|4,num_1|1|1|1|1|1|1|2|3,num_1|1|1|1|1|1|1|5,num_1|1|1|1|1|1|2|2|2,num_1|1|1|1|1|1|2|4,num_1|1|1|1|1|1|3|3,num_1|1|1|1|1|1|6,num_1|1|1|1|1|2|2|3,num_1|1|1|1|1|2|5,num_1|1|1|1|1|3|4,num_1|1|1|1|1|7,num_1|1|1|1|2|2|2|2,num_1|1|1|1|2|2|4,num_1|1|1|1|2|3|3,num_1|1|1|1|2|6,num_1|1|1|1|3|5,num_1|1|1|1|4|4,num_1|1|1|1|8,num_1|1|1|2|2|2|3,num_1|1|1|2|2|5,num_1|1|1|2|3|4,num_1|1|1|2|7,num_1|1|1|3|3|3,num_1|1|1|3|6,num_1|1|1|4|5,num_1|1|1|9,num_1|1|2|2|2|2|2,num_1|1|2|2|2|4,num_1|1|2|2|3|3,num_1|1|2|2|6,num_1|1|2|3|5,num_1|1|2|4|4,num_1|1|2|8,num_1|1|3|3|4,num_1|1|3|7,num_1|1|4|6,num_1|1|5|5,num_1|1|10,num_1|2|2|2|2|3,num_1|2|2|2|5,num_1|2|2|3|4,num_1|2|2|7,num_1|2|3|3|3,num_1|2|3|6,num_1|2|4|5,num_1|2|9,num_1|3|3|5,num_1|3|4|4,num_1|3|8,num_1|4|7,num_1|5|6,num_1|11,num_2|2|2|2|2|2,num_2|2|2|2|4,num_2|2|2|3|3,num_2|2|2|6,num_2|2|3|5,num_2|2|4|4,num_2|2|8,num_2|3|3|4,num_2|3|7,num_2|4|6,num_2|5|5,num_2|10,num_3|3|3|3,num_3|3|6,num_3|4|5,num_3|9,num_4|4|4,num_4|8,num_5|7,num_6|6,num_12
8,7,495,0,210,252,280,168,217,70,255,103,114,15,142,25,30,0,176,40,45,0,0,0,0,60,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,8,495,495,285,117,145,33,47,5,60,8,9,0,12,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,1,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,1,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,1,0,0,0,0,220
9,2,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,1,1,27,0,0,0,0,0,0,12,0,10,10,10,90,0,0,0,2,0,1,1,63,0,0,56,55,55,165,0,0,0,0,0,0,20,0,11,10,10,210,0,2,1,219,0,220,220,220,0
9,3,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,4,4,4,48,0,1,1,30,1,27,27,108,0,0,0,14,12,12,96,10,91,90,90,120,0,3,2,71,1,64,63,156,57,56,164,165,165,0,0,0,0,30,21,20,200,12,209,210,210,0,4,218,219,0,220,0,0,0,0
9,4,220,0,0,0,0,0,0,0,0,0,0,20,0,10,10,70,0,4,4,52,48,48,112,1,33,30,112,27,109,108,84,0,16,14,102,97,96,112,92,119,120,120,0,4,79,72,147,66,155,156,0,163,164,0,0,0,0,0,40,32,190,199,200,0,208,0,0,0,0,216,0,0,0,0,0,0,0,0
9,5,220,0,0,0,0,0,0,35,0,20,20,90,10,75,70,105,4,56,52,114,113,112,56,36,116,113,77,111,83,84,0,20,108,104,104,111,112,0,118,0,0,0,0,88,138,146,0,153,0,0,0,0,0,0,0,0,0,60,180,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,6,220,0,0,0,0,56,35,105,20,96,90,90,80,105,106,35,64,116,116,50,55,56,0,121,70,76,0,81,0,0,0,120,96,102,0,0,0,0,0,0,0,0,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,7,220,0,0,84,56,112,112,70,108,88,92,20,106,30,34,0,120,44,48,0,0,0,0,62,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,8,220,0,120,108,128,48,67,10,84,16,18,0,24,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
