theta_idx_l,theta_idx_m,den,num_1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,num_1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|2,num_1|1|1|1|1|1|1|1|1|1|1|1|1|1|3,num_1|1|1|1|1|1|1|1|1|1|1|1|1|2|2,num_1|1|1|1|1|1|1|1|1|1|1|1|1|4,num_1|1|1|1|1|1|1|1|1|1|1|1|2|3,num_1|1|1|1|1|1|1|1|1|1|1|1|5,num_1|1|1|1|1|1|1|1|1|1|1|2|2|2,num_1|1|1|1|1|1|1|1|1|1|1|2|4,num_1|1|1|1|1|1|1|1|1|1|1|3|3,num_1|1|1|1|1|1|1|1|1|1|1|6,num_1|1|1|1|1|1|1|1|1|1|2|2|3,num_1|1|1|1|1|1|1|1|1|1|2|5,num_1|1|1|1|1|1|1|1|1|1|3|4,num_1|1|1|1|1|1|1|1|1|1|7,num_1|1|1|1|1|1|1|1|1|2|2|2|2,num_1|1|1|1|1|1|1|1|1|2|2|4,num_1|1|1|1|1|1|1|1|1|2|3|3,num_1|1|1|1|1|1|1|1|1|2|6,num_1|1|1|1|1|1|1|1|1|3|5,num_1|1|1|1|1|1|1|1|1|4|4,num_1|1|1|1|1|1|1|1|1|8,num_1|1|1|1|1|1|1|1|2|2|2|3,num_1|1|1|1|1|1|1|1|2|2|5,num_1|1|1|1|1|1|1|1|2|3|4,num_1|1|1|1|1|1|1|1|2|7,num_1|1|1|1|1|1|1|1|3|3|3,num_1|1|1|1|1|1|1|1|3|6,num_1|1|1|1|1|1|1|1|4|5,num_1|1|1|1|1|1|1|1|9,num_1|1|1|1|1|1|1|2|2|2|2|2,num_1|1|1|1|1|1|1|2|2|2|4,num_1|1|1|1|1|1|1|2|2|3|3,num_1|1|1|1|1|1|1|2|2|6,num_1|1|1|1|1|1|1|2|3|5,num_1|1|1|1|1|1|1|2|4|4,num_1|1|1|1|1|1|1|2|8,num_1|1|1|1|1|1|1|3|3|4,num_1|1|1|1|1|1|1|3|7,num_1|1|1|1|1|1|1|4|6,num_1|1|1|1|1|1|1|5|5,num_1|1|1|1|1|1|1|10,num_1|1|1|1|1|1|2|2|2|2|3,num_1|1|1|1|1|1|2|2|2|5,num_1|1|1|1|1|1|2|2|3|4,num_1|1|1|1|1|1|2|2|7,num_1|1|1|1|1|1|2|3|3|3,num_1|1|1|1|1|1|2|3|6,num_1|1|1|1|1|1|2|4|5,num_1|1|1|1|1|1|2|9,num_1|1|1|1|1|1|3|3|5,num_1|1|1|1|1|1|3|4|4,num_1|1|1|1|1|1|3|8,num_1|1|1|1|1|1|4|7,num_1|1|1|1|1|1|5|6,num_1|1|1|1|1|1|11,num_1|1|1|1|1|2|2|2|2|2|2,num_1|1|1|1|1|2|2|2|2|4,num_1|1|1|1|1|2|2|2|3|3,num_1|1|1|1|1|2|2|2|6,num_1|1|1|1|1|2|2|3|5,num_1|1|1|1|1|2|2|4|4,num_1|1|1|1|1|2|2|8,num_1|1|1|1|1|2|3|3|4,num_1|1|1|1|1|2|3|7,num_1|1|1|1|1|2|4|6,num_1|1|1|1|1|2|5|5,num_1|1|1|1|1|2|10,num_1|1|1|1|1|3|3|3|3,num_1|1|1|1|1|3|3|6,num_1|1|1|1|1|3|4|5,num_1|1|1|1|1|3|9,num_1|1|1|1|1|4|4|4,num_1|1|1|1|1|4|8,num_1|1|1|1|1|5|7,num_1|1|1|1|1|6|6,num_1|1|1|1|1|12,num_1|1|1|1|2|2|2|2|2|3,num_1|1|1|1|2|2|2|2|5,num_1|1|1|1|2|2|2|3|4,num_1|1|1|1|2|2|2|7,num_1|1|1|1|2|2|3|3|3,num_1|1|1|1|2|2|3|6,num_1|1|1|1|2|2|4|5,num_1|1|1|1|2|2|9,num_1|1|1|1|2|3|3|5,num_1|1|1|1|2|3|4|4,num_1|1|1|1|2|3|8,num_1|1|1|1|2|4|7,num_1|1|1|1|2|5|6,num_1|1|1|1|2|11,num_1|1|1|1|3|3|3|4,num_1|1|1|1|3|3|7,num_1|1|1|1|3|4|6,num_1|1|1|1|3|5|5,num_1|1|1|1|3|10,num_1|1|1|1|4|4|5,num_1|1|1|1|4|9,num_1|1|1|1|5|8,num_1|1|1|1|6|7,num_1|1|1|1|13,num_1|1|1|2|2|2|2|2|2|2,num_1|1|1|2|2|2|2|2|4,num_1|1|1|2|2|2|2|3|3,num_1|1|1|2|2|2|2|6,num_1|1|1|2|2|2|3|5,num_1|1|1|2|2|2|4|4,num_1|1|1|2|2|2|8,num_1|1|1|2|2|3|3|4,num_1|1|1|2|2|3|7,num_1|1|1|2|2|4|6,num_1|1|1|2|2|5|5,num_1|1|1|2|2|10,num_1|1|1|2|3|3|3|3,num_1|1|1|2|3|3|6,num_1|1|1|2|3|4|5,num_1|1|1|2|3|9,num_1|1|1|2|4|4|4,num_1|1|1|2|4|8,num_1|1|1|2|5|7,num_1|1|1|2|6|6,num_1|1|1|2|12,num_1|1|1|3|3|3|5,num_1|1|1|3|3|4|4,num_1|1|1|3|3|8,num_1|1|1|3|4|7,num_1|1|1|3|5|6,num_1|1|1|3|11,num_1|1|1|4|4|6,num_1|1|1|4|5|5,num_1|1|1|4|10,num_1|1|1|5|9,num_1|1|1|6|8,num_1|1|1|7|7,num_1|1|1|14,num_1|1|2|2|2|2|2|2|3,num_1|1|2|2|2|2|2|5,num_1|1|2|2|2|2|3|4,num_1|1|2|2|2|2|7,num_1|1|2|2|2|3|3|3,num_1|1|2|2|2|3|6,num_1|1|2|2|2|4|5,num_1|1|2|2|2|9,num_1|1|2|2|3|3|5,num_1|1|2|2|3|4|4,num_1|1|2|2|3|8,num_1|1|2|2|4|7,num_1|1|2|2|5|6,num_1|1|2|2|11,num_1|1|2|3|3|3|4,num_1|1|2|3|3|7,num_1|1|2|3|4|6,num_1|1|2|3|5|5,num_1|1|2|3|10,num_1|1|2|4|4|5,num_1|1|2|4|9,num_1|1|2|5|8,num_1|1|2|6|7,num_1|1|2|13,num_1|1|3|3|3|3|3,num_1|1|3|3|3|6,num_1|1|3|3|4|5,num_1|1|3|3|9,num_1|1|3|4|4|4,num_1|1|3|4|8,num_1|1|3|5|7,num_1|1|3|6|6,num_1|1|3|12,num_1|1|4|4|7,num_1|1|4|5|6,num_1|1|4|11,num_1|1|5|5|5,num_1|1|5|10,num_1|1|6|9,num_1|1|7|8,num_1|1|15,num_1|2|2|2|2|2|2|2|2,num_1|2|2|2|2|2|2|4,num_1|2|2|2|2|2|3|3,num_1|2|2|2|2|2|6,num_1|2|2|2|2|3|5,num_1|2|2|2|2|4|4,num_1|2|2|2|2|8,num_1|2|2|2|3|3|4,num_1|2|2|2|3|7,num_1|2|2|2|4|6,num_1|2|2|2|5|5,num_1|2|2|2|10,num_1|2|2|3|3|3|3,num_1|2|2|3|3|6,num_1|2|2|3|4|5,num_1|2|2|3|9,num_1|2|2|4|4|4,num_1|2|2|4|8,num_1|2|2|5|7,num_1|2|2|6|6,num_1|2|2|12,num_1|2|3|3|3|5,num_1|2|3|3|4|4,num_1|2|3|3|8,num_1|2|3|4|7,num_1|2|3|5|6,num_1|2|3|11,num_1|2|4|4|6,num_1|2|4|5|5,num_1|2|4|10,num_1|2|5|9,num_1|2|6|8,num_1|2|7|7,num_1|2|14,num_1|3|3|3|3|4,num_1|3|3|3|7,num_1|3|3|4|6,num_1|3|3|5|5,num_1|3|3|10,num_1|3|4|4|5,num_1|3|4|9,num_1|3|5|8,num_1|3|6|7,num_1|3|13,num_1|4|4|4|4,num_1|4|4|8,num_1|4|5|7,num_1|4|6|6,num_1|4|12,num_1|5|5|6,num_1|5|11,num_1|6|10,num_1|7|9,num_1|8|8,num_1|16,num_2|2|2|2|2|2|2|3,num_2|2|2|2|2|2|5,num_2|2|2|2|2|3|4,num_2|2|2|2|2|7,num_2|2|2|2|3|3|3,num_2|2|2|2|3|6,num_2|2|2|2|4|5,num_2|2|2|2|9,num_2|2|2|3|3|5,num_2|2|2|3|4|4,num_2|2|2|3|8,num_2|2|2|4|7,num_2|2|2|5|6,num_2|2|2|11,num_2|2|3|3|3|4,num_2|2|3|3|7,num_2|2|3|4|6,num_2|2|3|5|5,num_2|2|3|10,num_2|2|4|4|5,num_2|2|4|9,num_2|2|5|8,num_2|2|6|7,num_2|2|13,num_2|3|3|3|3|3,num_2|3|3|3|6,num_2|3|3|4|5,num_2|3|3|9,num_2|3|4|4|4,num_2|3|4|8,num_2|3|5|7,num_2|3|6|6,num_2|3|12,num_2|4|4|7,num_2|4|5|6,num_2|4|11,num_2|5|5|5,num_2|5|10,num_2|6|9,num_2|7|8,num_2|15,num_3|3|3|3|5,num_3|3|3|4|4,num_3|3|3|8,num_3|3|4|7,num_3|3|5|6,num_3|3|11,num_3|4|4|6,num_3|4|5|5,num_3|4|10,num_3|5|9,num_3|6|8,num_3|7|7,num_3|14,num_4|4|4|5,num_4|4|9,num_4|5|8,num_4|6|7,num_4|13,num_5|5|7,num_5|6|6,num_5|12,num_6|11,num_7|10,num_8|9,num_17
5,1,6188,0,0,0,0,0,0,1,0,0,0,6,0,1,0,21,0,0,0,6,1,0,56,0,1,0,21,0,6,1,126,0,0,0,6,1,0,56,0,21,6,2,252,0,1,0,21,0,6,1,126,1,0,56,21,7,462,0,0,0,6,1,0,56,0,21,6,2,252,0,6,1,126,0,56,22,12,792,0,1,0,21,0,6,1,126,1,0,56,21,7,462,0,21,6,2,252,1,126,57,27,1287,0,0,0,6,1,0,56,0,21,6,2,252,0,6,1,126,0,56,22,12,792,1,0,56,21,7,462,6,2,252,127,62,42,2002,0,1,0,21,0,6,1,126,1,0,56,21,7,462,0,21,6,2,252,1,126,57,27,1287,0,6,1,126,0,56,22,12,792,21,7,462,3,253,132,77,3003,0,0,0,6,1,0,56,0,21,6,2,252,0,6,1,126,0,56,22,12,792,1,0,56,21,7,462,6,2,252,127,62,42,2002,0,21,6,2,252,1,126,57,27,1287,0,56,22,12,792,8,463,258,147,112,4368,0,1,0,21,0,6,1,126,1,0,56,21,7,462,0,21,6,2,252,1,126,57,27,1287,0,6,1,126,0,56,22,12,792,21,7,462,3,253,132,77,3003,1,0,56,21,7,462,6,2,252,127,62,42,2002,1,126,57,27,1287,23,13,793,468,273,182,6188
5,2,6188,0,0,0,0,13,1,60,0,17,6,165,2,70,31,350,0,21,8,185,100,74,630,3,80,36,385,18,240,173,1008,0,25,10,205,111,82,686,55,476,358,320,1470,4,90,41,420,21,261,187,1092,146,110,826,657,575,1980,0,29,12,225,122,90,742,61,512,382,340,1590,36,321,231,1296,183,1091,970,930,2475,5,100,46,455,24,282,201,1176,158,119,883,696,605,2145,85,608,451,400,1875,334,1669,1530,1460,2860,0,33,14,245,133,98,798,67,548,406,360,1710,40,343,246,1381,195,1151,1015,970,2695,198,152,1028,801,690,2530,599,533,2383,2268,2195,2170,3003,6,110,51,490,27,303,215,1260,170,128,940,735,635,2310,92,645,476,421,1996,352,1757,1596,1515,3146,60,408,295,1590,237,1305,1136,1080,3201,1012,868,3203,780,3180,3153,3136,2730,0,37,16,265,144,106,854,73,584,430,380,1830,44,365,261,1466,207,1211,1060,1010,2915,211,162,1086,841,721,2696,627,557,2507,2362,2271,2240,3367,121,746,550,486,2286,410,1975,1766,1661,3796,340,1600,1377,1303,4072,1185,4240,4335,4382,4396,1820,7,120,56,525,30,324,229,1344,182,137,997,774,665,2475,99,682,501,442,2117,370,1845,1662,1570,3432,65,431,311,1676,250,1366,1182,1121,3422,1055,902,3372,810,3310,3257,3227,3185,256,200,1236,951,811,3086,710,631,2806,2596,2466,2422,4186,543,2378,2091,1947,4901,1790,1690,5395,5720,5915,6006,0
5,3,6188,0,0,91,13,312,126,660,39,374,275,1100,174,750,565,1575,78,449,345,1215,981,900,2016,235,853,662,1708,552,1476,1352,2352,130,537,428,1343,1106,1024,2156,911,1981,1862,1820,2520,309,969,772,1854,657,1626,1504,2484,1395,1315,2415,2349,2310,2475,195,638,524,1484,1244,1161,2309,1043,2149,2039,2000,2625,922,1945,1835,2695,1764,2720,2725,2725,2200,396,1098,895,2013,775,1789,1669,2629,1555,1474,2590,2544,2515,2530,1350,2480,2400,2371,2746,2320,2880,2956,2990,1716,273,752,633,1638,1395,1311,2475,1188,2330,2229,2193,2743,1062,2130,2022,2862,1950,2922,2948,2955,2178,1902,1823,2907,2917,2916,2511,2900,2892,2742,2892,2976,3003,1092,496,1240,1031,2185,906,1965,1847,2787,1728,1646,2778,2752,2733,2598,1517,2683,2612,2586,2886,2534,3074,3186,3238,1586,1385,2507,2411,3131,2341,3281,3361,3386,1961,3399,3452,2237,3480,2430,2552,2611,455,364,879,755,1805,1559,1474,2654,1346,2524,2432,2399,2874,1215,2328,2222,3042,2149,3137,3184,3198,2169,2097,2017,3117,3147,3156,2601,3139,3134,2909,3114,3231,3269,819,1882,3072,3031,3015,3065,2965,3385,3585,3681,1105,2904,3700,3879,3937,1324,4020,1485,1595,1659,1680,0,609,1395,1180,2370,1050,2154,2038,2958,1914,1831,2979,2973,2964,2679,1697,2899,2837,2814,3039,2761,3281,3429,3499,1469,1560,2727,2633,3333,2562,3518,3619,3651,1974,3656,3719,2354,3750,2625,2799,2884,0,2502,2424,3492,3578,3615,2640,3600,3605,3130,3465,3660,3724,0,3564,3684,4040,4214,0,4375,4485,0,0,0,0,0
5,4,6188,0,455,1092,884,1716,1474,2200,1287,2035,1980,2475,1830,2445,2430,2520,1664,2328,2289,2640,2712,2736,2352,2160,2664,2676,2604,2664,2772,2856,2016,2015,2595,2572,2779,2884,2919,2359,2940,2604,2751,2800,1575,2464,2857,2896,2662,2900,2864,2965,1955,3020,3072,2240,2430,2525,1100,2340,2836,2829,2892,3030,3076,2340,3113,2615,2780,2835,1460,3144,2865,2990,1740,3060,1940,2060,2100,660,2742,3024,3090,2694,3110,2930,3048,1868,3119,3182,2174,2378,2480,950,3246,2484,2670,2732,1182,2816,1356,1472,1530,312,2639,3051,3060,2979,3150,3207,2295,3260,2600,2783,2844,1319,3307,2884,3026,1606,3107,1811,1934,1975,499,3124,3204,1924,2136,2242,652,2331,2396,771,856,907,924,91,2994,3165,3258,2700,3294,2970,3105,1755,3192,3266,2082,2300,2409,774,3346,2422,2626,2694,994,2789,1159,1269,1324,169,3420,2754,2920,1260,3018,1450,1564,1602,234,1644,1741,286,1800,325,351,364,0,2912,3240,3265,3040,3244,3312,2224,3381,2559,2760,2827,1152,3444,2877,3036,1446,3128,1656,1782,1824,312,3150,3241,1785,2011,2124,429,2224,2295,520,585,624,637,0,3348,2160,2385,2460,585,2572,702,780,819,0,2688,832,910,936,0,975,0,0,0,0,0,3220,3280,3400,2680,3452,2984,3136,1616,3239,3324,1964,2196,2312,572,3420,2334,2556,2630,780,2736,936,1040,1092,0,3510,2700,2883,1053,2992,1248,1365,1404,0,1456,1560,0,1625,0,0,0,0,3024,3132,1404,1638,1755,0,1872,1950,0,0,0,0,0,2080,0,0,0,0,0,0,0,0,0,0,0
5,5,6188,6188,5733,5005,5291,4147,4587,3267,4862,3762,3927,2442,4182,2922,3162,1722,4446,3390,3546,2142,2394,2478,1134,3790,2590,2814,1470,2954,1694,1806,686,4043,3031,3178,1855,2086,2163,931,2282,1106,1211,1246,371,3411,2271,2479,1231,2610,1431,1531,531,1626,1691,651,731,771,171,3653,2685,2823,1581,1791,1861,741,1971,891,981,1011,261,2086,1051,1131,331,1181,381,411,421,61,3045,1965,2157,1005,2279,1181,1269,389,1355,1413,485,549,581,101,1507,595,661,683,133,717,157,173,181,13,3276,2352,2481,1320,1509,1572,564,1673,689,764,789,164,1779,825,893,213,936,248,269,276,24,963,1009,273,313,333,33,352,365,40,45,48,49,0,2692,1672,1848,792,1961,944,1020,260,1097,1148,332,380,404,44,1233,417,468,485,60,512,72,80,84,0,1323,513,561,81,592,96,105,108,0,112,120,0,125,0,0,0,0,2912,2032,2152,1072,1240,1296,400,1388,500,560,580,80,1485,612,668,108,704,128,140,144,0,729,768,144,168,180,0,192,200,0,0,0,0,0,837,189,216,225,0,240,0,0,0,0,256,0,0,0,0,0,0,0,0,0,0,2352,1392,1552,592,1656,720,784,144,852,896,192,224,240,0,972,252,288,300,0,320,0,0,0,0,1053,324,360,0,384,0,0,0,0,0,0,0,0,0,0,0,0,405,432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1,12376,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,0,0,0,1,0,0,28,0,0,0,7,0,1,0,84,0,0,0,1,0,0,28,0,7,1,0,210,0,0,0,7,0,1,0,84,0,0,28,7,1,462,0,0,0,1,0,0,28,0,7,1,0,210,0,1,0,84,0,28,7,2,924,0,0,0,7,0,1,0,84,0,0,28,7,1,462,0,7,1,0,210,0,84,28,8,1716,0,0,0,1,0,0,28,0,7,1,0,210,0,1,0,84,0,28,7,2,924,0,0,28,7,1,462,1,0,210,84,29,14,3003,0,0,0,7,0,1,0,84,0,0,28,7,1,462,0,7,1,0,210,0,84,28,8,1716,0,1,0,84,0,28,7,2,924,7,1,462,0,210,85,35,5005,0,0,0,1,0,0,28,0,7,1,0,210,0,1,0,84,0,28,7,2,924,0,0,28,7,1,462,1,0,210,84,29,14,3003,0,7,1,0,210,0,84,28,8,1716,0,28,7,2,924,1,462,211,91,56,8008,0,0,0,7,0,1,0,84,0,0,28,7,1,462,0,7,1,0,210,0,84,28,8,1716,0,1,0,84,0,28,7,2,924,7,1,462,0,210,85,35,5005,0,0,28,7,1,462,1,0,210,84,29,14,3003,0,84,28,8,1716,7,2,924,463,217,112,12376
6,2,12376,0,0,0,0,0,0,12,0,1,1,66,0,17,7,210,0,2,1,81,37,28,504,0,22,8,245,3,131,92,1008,0,3,1,96,42,30,574,15,350,251,224,1764,0,27,9,280,3,146,98,1134,63,42,770,581,503,2772,0,4,1,111,47,32,644,16,385,267,234,1974,6,197,124,1470,84,1176,1027,982,3960,0,32,10,315,3,161,104,1260,68,44,840,617,523,3102,24,491,323,274,2514,200,2136,1916,1816,5148,0,5,1,126,52,34,714,17,420,283,244,2184,6,212,130,1596,87,1247,1067,1012,4455,90,57,1037,728,593,3927,464,384,3549,3300,3160,3115,6006,0,37,11,350,3,176,110,1386,73,46,910,653,543,3432,25,526,339,284,2724,207,2263,1991,1866,5863,10,264,157,1933,105,1449,1192,1112,5665,980,768,5467,636,5301,5184,5124,6006,0,6,1,141,57,36,784,18,455,299,254,2394,6,227,136,1722,90,1318,1107,1042,4950,95,59,1107,764,613,4257,481,395,3760,3431,3245,3185,7007,34,633,396,325,3265,239,2605,2207,2021,7579,168,1876,1478,1352,7876,1140,8009,8055,8064,8064,4368,0,42,12,385,3,191,116,1512,78,48,980,689,563,3762,26,561,355,294,2934,214,2390,2066,1916,6578,10,279,163,2059,108,1520,1232,1142,6160,1017,789,5798,651,5516,5325,5229,7371,118,73,1305,876,684,5083,543,441,4306,3787,3491,3395,9373,336,3292,2668,2372,10660,2044,1844,11452,11913,12159,12264,0
6,3,12376,0,0,0,0,78,12,330,1,121,66,825,27,425,255,1575,4,170,99,990,675,576,2520,46,530,328,1820,225,1380,1168,3528,10,226,138,1170,812,698,2842,552,2352,2058,1960,4410,70,646,410,2086,288,1602,1366,3906,1176,1038,3486,3186,3030,4950,20,290,184,1366,962,832,3192,664,2672,2356,2250,4800,504,2136,1870,4590,1710,4390,4250,4200,4950,100,774,502,2374,360,1842,1580,4320,1364,1208,3904,3600,3440,5280,996,3384,3060,2950,5400,2786,5406,5370,5340,4290,35,363,238,1579,1126,979,3571,788,3016,2675,2560,5235,606,2424,2128,5088,1947,4923,4800,4755,5115,1860,1674,4770,4518,4380,5610,4251,4158,5883,6018,6075,6090,3003,137,915,605,2685,442,2101,1811,4771,1568,1393,4353,4041,3875,5665,1156,3788,3433,3312,5937,3123,6043,6067,6065,4147,930,3120,2782,6042,2565,6037,6002,5985,4917,5973,5923,5413,5890,5715,5883,5957,1365,56,446,301,1810,1305,1140,3980,925,3385,3016,2891,5716,720,2733,2405,5625,2202,5490,5381,5340,5346,2108,1901,5293,5025,4877,6117,4718,4611,6586,6851,6982,7021,2366,1614,4698,4317,4186,6861,3953,7293,7521,7617,3081,3696,7688,7881,7938,3576,8035,3905,4110,4221,4256,0,182,1070,720,3020,535,2380,2060,5260,1789,1594,4834,4510,4336,6106,1331,4219,3830,3697,6522,3482,6722,6802,6826,4082,1080,3483,3109,6669,2868,6684,6657,6642,5292,6592,6526,6116,6475,6650,6966,7112,0,2754,2511,6399,6159,6021,6831,5808,5685,7860,8505,8856,8967,0,5400,9000,9680,9996,0,10325,10530,0,0,0,0,0
6,4,12376,0,0,364,78,1144,550,2200,231,1430,1155,3300,805,2550,2130,4200,456,1776,1500,3660,3264,3120,4704,1126,2948,2548,4508,2292,4284,4144,4704,750,2179,1905,4053,3710,3584,4900,3381,4935,4914,4900,4200,1510,3391,3017,4831,2769,4695,4600,4740,4485,4404,5040,5190,5250,3300,1110,2636,2367,4476,4195,4090,5090,3904,5240,5290,5300,4050,3694,5290,5290,4540,5280,4840,5000,5050,2200,1954,3876,3534,5166,3297,5130,5086,4746,5000,4946,5170,5406,5510,2970,4816,5530,5710,5764,3514,5840,3880,4104,4210,1144,1533,3144,2883,4926,4716,4635,5271,4469,5551,5681,5718,3843,4276,5725,5788,4438,5814,4818,5028,5095,1738,5782,5791,5047,5413,5584,2179,5740,5844,2494,2704,2824,2863,364,2455,4400,4096,5510,3873,5586,5599,4719,5545,5521,5285,5619,5773,2553,5417,5805,6083,6170,3145,6294,3554,3810,3933,650,5280,6237,6431,3831,6538,4286,4545,4629,870,4744,4964,1034,5100,1150,1224,1260,0,2016,3700,3450,5400,5270,5216,5440,5073,5865,6084,6151,3576,4900,6175,6307,4297,6372,4772,5041,5128,1156,6339,6384,5084,5572,5805,1540,6024,6170,1820,2010,2120,2156,0,6354,5904,6366,6515,2040,6744,2394,2620,2730,0,6976,2784,3010,3084,0,3200,0,0,0,0,0,3010,4960,4700,5860,4494,6060,6136,4656,6117,6126,5382,5826,6036,2046,6051,6077,6462,6585,2710,6760,3180,3480,3626,0,5940,6669,6944,3564,7096,4144,4480,4590,0,4760,5060,0,5250,0,0,0,0,7074,7200,4644,5334,5670,0,6024,6250,0,0,0,0,0,6640,0,0,0,0,0,0,0,0,0,0,0
6,5,12376,0,1365,3003,2574,4290,3960,4950,3630,4950,4950,4950,4770,5310,5490,4410,4536,5472,5526,5040,5418,5544,3528,5436,5544,5796,4284,5922,4788,5040,2520,5295,5859,5964,5019,5460,5607,3255,5796,3780,4095,4200,1575,5961,5655,5973,4065,6144,4605,4875,2175,5100,5265,2625,2925,3075,825,5910,6114,6267,4890,5385,5550,2910,5775,3435,3750,3855,1230,6000,3975,4245,1545,4410,1770,1905,1950,330,6348,5646,6024,3756,6237,4320,4602,1782,4851,5028,2196,2472,2610,540,5289,2661,2940,3033,708,3174,834,918,960,78,6384,6240,6438,4656,5196,5376,2496,5634,3006,3312,3414,864,5895,3546,3816,1116,3984,1296,1404,1440,144,4077,4254,1422,1626,1728,198,1824,1890,240,270,288,294,0,6600,5520,5952,3360,6204,3936,4224,1344,4494,4680,1704,1944,2064,264,4968,2124,2376,2460,360,2592,432,480,504,0,5265,2592,2826,486,2976,576,630,648,0,672,720,0,750,0,0,0,0,6720,6240,6480,4320,4896,5088,2016,5376,2496,2784,2880,480,5670,3024,3288,648,3456,768,840,864,0,3564,3744,864,1008,1080,0,1152,1200,0,0,0,0,0,4050,1134,1296,1350,0,1440,0,0,0,0,1536,0,0,0,0,0,0,0,0,0,0,6720,5280,5760,2880,6048,3456,3744,864,4032,4224,1152,1344,1440,0,4536,1512,1728,1800,0,1920,0,0,0,0,4860,1944,2160,0,2304,0,0,0,0,0,0,0,0,0,0,0,0,2430,2592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,6,12376,12376,11011,9009,9724,6864,7854,4884,8514,5874,6204,3234,6774,4074,4494,1974,7380,4956,5250,2604,2982,3108,1092,5768,3332,3696,1512,3934,1792,1932,532,6321,4109,4368,2037,2352,2457,777,2632,952,1057,1092,217,4835,2657,2967,1107,3172,1327,1437,337,1552,1627,427,487,517,67,5336,3332,3557,1532,1787,1872,512,2017,637,712,737,112,2172,777,847,147,892,172,187,192,12,3974,2048,2306,758,2479,922,1004,184,1093,1150,238,274,292,22,1251,303,342,355,30,376,36,40,42,0,4424,2624,2816,1088,1286,1352,296,1468,376,424,440,40,1593,468,514,54,544,64,70,72,0,567,600,72,84,90,0,96,100,0,0,0,0,0,3184,1504,1712,464,1854,576,632,72,696,736,96,112,120,0,810,126,144,150,0,160,0,0,0,0,891,162,180,0,192,0,0,0,0,0,0,0,0,0,0,0,0,3584,1984,2144,704,848,896,128,984,168,192,200,0,1080,216,240,0,256,0,0,0,0,270,288,0,0,0,0,0,0,0,0,0,0,0,324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2464,1024,1184,224,1296,288,320,0,360,384,0,0,0,0,432,0,0,0,0,0,0,0,0,0,486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1,19448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,0,0,0,1,0,0,0,36,0,0,0,0,0,0,8,0,1,0,0,120,0,0,0,1,0,0,0,36,0,0,8,1,0,330,0,0,0,0,0,0,8,0,1,0,0,120,0,0,0,36,0,8,1,0,792,0,0,0,1,0,0,0,36,0,0,8,1,0,330,0,1,0,0,120,0,36,8,1,1716,0,0,0,0,0,0,8,0,1,0,0,120,0,0,0,36,0,8,1,0,792,0,0,8,1,0,330,0,0,120,36,8,2,3432,0,0,0,1,0,0,0,36,0,0,8,1,0,330,0,1,0,0,120,0,36,8,1,1716,0,0,0,36,0,8,1,0,792,1,0,330,0,120,36,9,6435,0,0,0,0,0,0,8,0,1,0,0,120,0,0,0,36,0,8,1,0,792,0,0,8,1,0,330,0,0,120,36,8,2,3432,0,1,0,0,120,0,36,8,1,1716,0,8,1,0,792,0,330,120,37,16,11440,0,0,0,1,0,0,0,36,0,0,8,1,0,330,0,1,0,0,120,0,36,8,1,1716,0,0,0,36,0,8,1,0,792,1,0,330,0,120,36,9,6435,0,0,8,1,0,330,0,0,120,36,8,2,3432,0,36,8,1,1716,1,0,792,330,121,44,19448
