theta_idx_l,theta_idx_m,den,num_1|1|1|1|1|1|1|1|1|1|1|1|1|1|1,num_1|1|1|1|1|1|1|1|1|1|1|1|1|2,num_1|1|1|1|1|1|1|1|1|1|1|1|3,num_1|1|1|1|1|1|1|1|1|1|1|2|2,num_1|1|1|1|1|1|1|1|1|1|1|4,num_1|1|1|1|1|1|1|1|1|1|2|3,num_1|1|1|1|1|1|1|1|1|1|5,num_1|1|1|1|1|1|1|1|1|2|2|2,num_1|1|1|1|1|1|1|1|1|2|4,num_1|1|1|1|1|1|1|1|1|3|3,num_1|1|1|1|1|1|1|1|1|6,num_1|1|1|1|1|1|1|1|2|2|3,num_1|1|1|1|1|1|1|1|2|5,num_1|1|1|1|1|1|1|1|3|4,num_1|1|1|1|1|1|1|1|7,num_1|1|1|1|1|1|1|2|2|2|2,num_1|1|1|1|1|1|1|2|2|4,num_1|1|1|1|1|1|1|2|3|3,num_1|1|1|1|1|1|1|2|6,num_1|1|1|1|1|1|1|3|5,num_1|1|1|1|1|1|1|4|4,num_1|1|1|1|1|1|1|8,num_1|1|1|1|1|1|2|2|2|3,num_1|1|1|1|1|1|2|2|5,num_1|1|1|1|1|1|2|3|4,num_1|1|1|1|1|1|2|7,num_1|1|1|1|1|1|3|3|3,num_1|1|1|1|1|1|3|6,num_1|1|1|1|1|1|4|5,num_1|1|1|1|1|1|9,num_1|1|1|1|1|2|2|2|2|2,num_1|1|1|1|1|2|2|2|4,num_1|1|1|1|1|2|2|3|3,num_1|1|1|1|1|2|2|6,num_1|1|1|1|1|2|3|5,num_1|1|1|1|1|2|4|4,num_1|1|1|1|1|2|8,num_1|1|1|1|1|3|3|4,num_1|1|1|1|1|3|7,num_1|1|1|1|1|4|6,num_1|1|1|1|1|5|5,num_1|1|1|1|1|10,num_1|1|1|1|2|2|2|2|3,num_1|1|1|1|2|2|2|5,num_1|1|1|1|2|2|3|4,num_1|1|1|1|2|2|7,num_1|1|1|1|2|3|3|3,num_1|1|1|1|2|3|6,num_1|1|1|1|2|4|5,num_1|1|1|1|2|9,num_1|1|1|1|3|3|5,num_1|1|1|1|3|4|4,num_1|1|1|1|3|8,num_1|1|1|1|4|7,num_1|1|1|1|5|6,num_1|1|1|1|11,num_1|1|1|2|2|2|2|2|2,num_1|1|1|2|2|2|2|4,num_1|1|1|2|2|2|3|3,num_1|1|1|2|2|2|6,num_1|1|1|2|2|3|5,num_1|1|1|2|2|4|4,num_1|1|1|2|2|8,num_1|1|1|2|3|3|4,num_1|1|1|2|3|7,num_1|1|1|2|4|6,num_1|1|1|2|5|5,num_1|1|1|2|10,num_1|1|1|3|3|3|3,num_1|1|1|3|3|6,num_1|1|1|3|4|5,num_1|1|1|3|9,num_1|1|1|4|4|4,num_1|1|1|4|8,num_1|1|1|5|7,num_1|1|1|6|6,num_1|1|1|12,num_1|1|2|2|2|2|2|3,num_1|1|2|2|2|2|5,num_1|1|2|2|2|3|4,num_1|1|2|2|2|7,num_1|1|2|2|3|3|3,num_1|1|2|2|3|6,num_1|1|2|2|4|5,num_1|1|2|2|9,num_1|1|2|3|3|5,num_1|1|2|3|4|4,num_1|1|2|3|8,num_1|1|2|4|7,num_1|1|2|5|6,num_1|1|2|11,num_1|1|3|3|3|4,num_1|1|3|3|7,num_1|1|3|4|6,num_1|1|3|5|5,num_1|1|3|10,num_1|1|4|4|5,num_1|1|4|9,num_1|1|5|8,num_1|1|6|7,num_1|1|13,num_1|2|2|2|2|2|2|2,num_1|2|2|2|2|2|4,num_1|2|2|2|2|3|3,num_1|2|2|2|2|6,num_1|2|2|2|3|5,num_1|2|2|2|4|4,num_1|2|2|2|8,num_1|2|2|3|3|4,num_1|2|2|3|7,num_1|2|2|4|6,num_1|2|2|5|5,num_1|2|2|10,num_1|2|3|3|3|3,num_1|2|3|3|6,num_1|2|3|4|5,num_1|2|3|9,num_1|2|4|4|4,num_1|2|4|8,num_1|2|5|7,num_1|2|6|6,num_1|2|12,num_1|3|3|3|5,num_1|3|3|4|4,num_1|3|3|8,num_1|3|4|7,num_1|3|5|6,num_1|3|11,num_1|4|4|6,num_1|4|5|5,num_1|4|10,num_1|5|9,num_1|6|8,num_1|7|7,num_1|14,num_2|2|2|2|2|2|3,num_2|2|2|2|2|5,num_2|2|2|2|3|4,num_2|2|2|2|7,num_2|2|2|3|3|3,num_2|2|2|3|6,num_2|2|2|4|5,num_2|2|2|9,num_2|2|3|3|5,num_2|2|3|4|4,num_2|2|3|8,num_2|2|4|7,num_2|2|5|6,num_2|2|11,num_2|3|3|3|4,num_2|3|3|7,num_2|3|4|6,num_2|3|5|5,num_2|3|10,num_2|4|4|5,num_2|4|9,num_2|5|8,num_2|6|7,num_2|13,num_3|3|3|3|3,num_3|3|3|6,num_3|3|4|5,num_3|3|9,num_3|4|4|4,num_3|4|8,num_3|5|7,num_3|6|6,num_3|12,num_4|4|7,num_4|5|6,num_4|11,num_5|5|5,num_5|10,num_6|9,num_7|8,num_15
5,1,3003,0,0,0,0,0,0,1,0,0,0,6,0,1,0,21,0,0,0,6,1,0,56,0,1,0,21,0,6,1,126,0,0,0,6,1,0,56,0,21,6,2,252,0,1,0,21,0,6,1,126,1,0,56,21,7,462,0,0,0,6,1,0,56,0,21,6,2,252,0,6,1,126,0,56,22,12,792,0,1,0,21,0,6,1,126,1,0,56,21,7,462,0,21,6,2,252,1,126,57,27,1287,0,0,0,6,1,0,56,0,21,6,2,252,0,6,1,126,0,56,22,12,792,1,0,56,21,7,462,6,2,252,127,62,42,2002,0,1,0,21,0,6,1,126,1,0,56,21,7,462,0,21,6,2,252,1,126,57,27,1287,0,6,1,126,0,56,22,12,792,21,7,462,3,253,132,77,3003
5,2,3003,0,0,0,0,11,1,50,0,15,6,135,2,60,29,280,0,19,8,155,90,70,490,3,70,34,315,18,210,161,756,0,23,10,175,101,78,546,53,406,326,300,1050,4,80,39,350,21,231,175,840,136,106,686,585,535,1320,0,27,12,195,112,86,602,59,442,350,320,1170,36,291,219,1044,177,949,890,870,1485,5,90,44,385,24,252,189,924,148,115,743,624,565,1485,83,538,419,380,1455,320,1415,1380,1360,1430,0,31,14,215,123,94,658,65,478,374,340,1290,40,313,234,1129,189,1009,935,910,1705,188,148,888,729,650,1870,565,511,1961,2006,2025,2030,1001,6,100,49,420,27,273,203,1008,160,124,800,663,595,1650,90,575,444,401,1576,338,1503,1446,1415,1716,60,378,283,1338,231,1163,1056,1020,2211,938,826,2541,750,2750,2871,2926,0
5,3,3003,0,0,66,11,220,95,450,33,270,207,720,135,520,412,980,66,331,265,805,686,644,1176,186,601,491,1071,423,981,930,1260,110,403,334,901,785,744,1260,679,1235,1210,1200,1200,248,693,581,1173,510,1095,1050,1320,997,962,1382,1410,1420,990,165,486,414,1008,895,855,1355,787,1355,1345,1340,1215,714,1317,1292,1362,1272,1452,1500,1515,660,321,796,682,1286,608,1220,1181,1391,1125,1091,1495,1551,1575,935,1021,1565,1597,1606,1131,1614,1264,1346,1385,286,231,580,505,1126,1016,977,1461,906,1486,1491,1491,1241,830,1460,1441,1451,1422,1586,1661,1685,506,1383,1355,1663,1791,1851,671,1904,1940,790,870,916,931,0,405,910,794,1410,717,1356,1323,1473,1264,1231,1619,1703,1741,891,1158,1714,1761,1775,1175,1784,1374,1500,1561,0,1080,1728,1729,1539,1716,1784,1925,1971,0,2044,2170,0,2250,0,0,0,0
5,4,3003,0,286,660,550,990,885,1200,792,1164,1152,1260,1088,1316,1344,1176,1012,1316,1316,1316,1400,1428,980,1269,1410,1457,1175,1476,1305,1370,720,1210,1446,1458,1350,1455,1490,930,1530,1080,1170,1200,450,1428,1482,1548,1152,1579,1300,1374,634,1432,1476,772,864,910,220,1386,1554,1578,1362,1488,1530,858,1582,1018,1114,1146,346,1632,1182,1264,444,1314,514,556,570,66,1565,1532,1617,1107,1660,1273,1356,526,1426,1477,661,751,796,121,1548,816,909,940,165,988,198,220,231,0,1540,1640,1676,1352,1499,1548,764,1612,934,1036,1070,220,1674,1116,1207,297,1264,352,385,396,0,1296,1356,396,462,495,0,528,550,0,0,0,0,0,1680,1560,1664,1040,1719,1224,1316,396,1398,1456,528,616,660,0,1539,693,792,825,0,880,0,0,0,0,1620,891,990,0,1056,0,0,0,0,0,0,0,0,0,0,0,0
5,5,3003,3003,2717,2277,2442,1782,2022,1302,2178,1554,1638,882,1778,1106,1218,546,1925,1337,1414,721,826,861,301,1545,921,1021,421,1086,501,541,141,1683,1131,1201,571,661,691,211,741,261,291,301,51,1323,747,835,307,893,371,403,83,437,459,107,123,131,11,1452,936,999,432,507,532,132,575,167,188,195,20,621,207,227,27,240,32,35,36,0,1112,584,660,204,711,252,276,36,303,320,48,56,60,0,351,63,72,75,0,80,0,0,0,0,1232,752,808,304,364,384,64,420,84,96,100,0,459,108,120,0,128,0,0,0,0,135,144,0,0,0,0,0,0,0,0,0,0,0,912,432,496,112,540,144,160,0,180,192,0,0,0,0,216,0,0,0,0,0,0,0,0,0,243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1,5005,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,0,0,0,1,0,0,28,0,0,0,7,0,1,0,84,0,0,0,1,0,0,28,0,7,1,0,210,0,0,0,7,0,1,0,84,0,0,28,7,1,462,0,0,0,1,0,0,28,0,7,1,0,210,0,1,0,84,0,28,7,2,924,0,0,0,7,0,1,0,84,0,0,28,7,1,462,0,7,1,0,210,0,84,28,8,1716,0,0,0,1,0,0,28,0,7,1,0,210,0,1,0,84,0,28,7,2,924,0,0,28,7,1,462,1,0,210,84,29,14,3003,0,0,0,7,0,1,0,84,0,0,28,7,1,462,0,7,1,0,210,0,84,28,8,1716,0,1,0,84,0,28,7,2,924,7,1,462,0,210,85,35,5005
6,2,5005,0,0,0,0,0,0,10,0,1,1,54,0,15,7,168,0,2,1,69,35,28,392,0,20,8,203,3,119,90,756,0,3,1,84,40,30,462,15,308,239,220,1260,0,25,9,238,3,134,96,882,61,42,658,539,489,1848,0,4,1,99,45,32,532,16,343,255,230,1470,6,185,122,1218,84,1064,983,958,2376,0,30,10,273,3,149,102,1008,66,44,728,575,509,2178,24,449,311,270,2010,198,1884,1802,1762,2574,0,5,1,114,50,34,602,17,378,271,240,1680,6,200,128,1344,87,1135,1023,988,2871,88,57,925,686,579,3003,452,380,3045,3046,3036,3031,2002,0,35,11,308,3,164,108,1134,71,46,798,611,529,2508,25,484,327,280,2220,205,2011,1877,1812,3289,10,252,155,1681,105,1337,1148,1088,4081,938,754,4543,630,4795,4920,4970,0
6,3,5005,0,0,0,0,55,10,225,1,90,54,540,23,300,196,980,4,131,83,665,490,434,1470,40,385,259,1155,189,945,840,1890,10,179,118,805,605,540,1680,445,1505,1390,1350,2100,62,481,331,1351,246,1125,1010,2100,899,824,2044,1980,1940,1980,20,235,160,961,733,658,1918,545,1753,1640,1600,2250,432,1539,1426,2376,1353,2421,2430,2430,1485,90,589,413,1569,312,1323,1196,2346,1063,976,2348,2316,2290,1980,829,2273,2206,2180,2280,2139,2449,2535,2570,715,35,300,210,1134,875,789,2185,657,2025,1911,1870,2445,526,1783,1654,2704,1566,2834,2890,2905,1210,1479,1376,2924,3024,3060,1540,3104,3125,1750,1875,1940,1960,0,125,710,506,1810,388,1540,1399,2629,1243,1143,2683,2679,2665,2035,975,2603,2529,2500,2575,2440,2910,3100,3185,0,810,2349,2210,3240,2100,3640,3850,3915,0,4060,4250,0,4375,0,0,0,0
6,4,5005,0,0,220,55,660,345,1200,162,840,708,1680,516,1400,1232,1960,318,1057,931,1855,1750,1708,1960,730,1625,1483,2065,1383,2085,2080,1680,520,1308,1191,2040,1985,1960,1960,1910,2110,2180,2200,1200,984,1872,1762,2162,1677,2250,2280,1560,2298,2308,1788,1920,1980,660,765,1590,1485,2232,2236,2231,1931,2205,2151,2265,2300,975,2164,2353,2442,1192,2496,1332,1410,1435,220,1275,2138,2066,2248,1999,2416,2487,1387,2541,2577,1661,1827,1905,385,2613,1961,2127,2180,505,2268,588,640,665,0,1050,1900,1810,2428,2500,2518,1870,2519,2175,2342,2395,670,2502,2481,2623,873,2712,1008,1085,1110,0,2763,2852,1128,1288,1365,0,1448,1500,0,0,0,0,0,1600,2420,2392,2320,2346,2580,2698,1158,2791,2856,1496,1708,1810,0,2925,1911,2148,2225,0,2360,0,0,0,0,2970,2403,2640,0,2800,0,0,0,0,0,0,0,0,0,0,0,0
6,5,5005,0,715,1485,1320,1980,1920,2100,1818,2226,2268,1890,2254,2170,2310,1470,2212,2380,2450,1820,2030,2100,980,2490,2160,2330,1310,2430,1530,1640,540,2505,2445,2540,1685,1910,1985,785,2100,960,1065,1100,225,2631,2073,2267,1103,2386,1315,1421,361,1528,1599,463,531,565,55,2700,2424,2541,1488,1719,1796,564,1921,709,796,825,100,2052,873,955,135,1008,160,175,180,0,2680,1912,2124,852,2259,1044,1140,180,1245,1312,240,280,300,0,1431,315,360,375,0,400,0,0,0,0,2800,2320,2456,1232,1460,1536,320,1668,420,480,500,0,1809,540,600,0,640,0,0,0,0,675,720,0,0,0,0,0,0,0,0,0,0,0,2640,1680,1904,560,2052,720,800,0,900,960,0,0,0,0,1080,0,0,0,0,0,0,0,0,0,1215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,6,5005,5005,4290,3300,3630,2310,2730,1470,3024,1848,1974,840,2212,1120,1260,420,2471,1435,1540,595,700,735,175,1745,815,925,265,1000,325,355,55,1970,1070,1155,390,465,490,90,535,115,130,135,10,1328,554,636,144,693,180,198,18,219,232,24,28,30,0,1520,752,818,224,272,288,32,318,42,48,50,0,351,54,60,0,64,0,0,0,0,960,336,392,56,432,72,80,0,90,96,0,0,0,0,108,0,0,0,0,0,0,0,0,0,1120,480,528,96,120,128,0,144,0,0,0,0,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,640,160,192,0,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1,6435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,0,0,0,1,0,0,0,36,0,0,0,0,0,0,8,0,1,0,0,120,0,0,0,1,0,0,0,36,0,0,8,1,0,330,0,0,0,0,0,0,8,0,1,0,0,120,0,0,0,36,0,8,1,0,792,0,0,0,1,0,0,0,36,0,0,8,1,0,330,0,1,0,0,120,0,36,8,1,1716,0,0,0,0,0,0,8,0,1,0,0,120,0,0,0,36,0,8,1,0,792,0,0,8,1,0,330,0,0,120,36,8,2,3432,0,0,0,1,0,0,0,36,0,0,8,1,0,330,0,1,0,0,120,0,36,8,1,1716,0,0,0,36,0,8,1,0,792,1,0,330,0,120,36,9,6435
7,2,6435,0,0,0,0,0,0,0,0,0,0,9,0,1,1,56,0,0,0,15,8,8,196,0,2,1,77,0,42,36,504,0,0,0,21,9,8,252,2,154,125,120,1050,0,3,1,98,0,48,37,630,16,10,434,357,334,1848,0,0,0,27,10,8,308,2,175,131,122,1302,0,75,45,1008,24,868,812,798,2772,0,4,1,119,0,54,38,756,17,10,490,378,341,2310,3,252,159,136,2016,80,1848,1764,1731,3432,0,0,0,33,11,8,364,2,196,137,124,1554,0,81,46,1134,24,924,834,810,3564,24,12,672,456,375,3564,249,192,3522,3480,3453,3444,3003,0,5,1,140,0,60,39,882,18,10,546,399,348,2772,3,273,165,138,2268,81,1974,1821,1758,4719,0,108,54,1512,27,1107,918,864,5643,666,486,6105,360,6315,6399,6426,0
