theta_idx_l,theta_idx_m,den,num_1|1|1|1|1|1|1|1|1|1|1|1|1|1,num_1|1|1|1|1|1|1|1|1|1|1|1|2,num_1|1|1|1|1|1|1|1|1|1|1|3,num_1|1|1|1|1|1|1|1|1|1|2|2,num_1|1|1|1|1|1|1|1|1|1|4,num_1|1|1|1|1|1|1|1|1|2|3,num_1|1|1|1|1|1|1|1|1|5,num_1|1|1|1|1|1|1|1|2|2|2,num_1|1|1|1|1|1|1|1|2|4,num_1|1|1|1|1|1|1|1|3|3,num_1|1|1|1|1|1|1|1|6,num_1|1|1|1|1|1|1|2|2|3,num_1|1|1|1|1|1|1|2|5,num_1|1|1|1|1|1|1|3|4,num_1|1|1|1|1|1|1|7,num_1|1|1|1|1|1|2|2|2|2,num_1|1|1|1|1|1|2|2|4,num_1|1|1|1|1|1|2|3|3,num_1|1|1|1|1|1|2|6,num_1|1|1|1|1|1|3|5,num_1|1|1|1|1|1|4|4,num_1|1|1|1|1|1|8,num_1|1|1|1|1|2|2|2|3,num_1|1|1|1|1|2|2|5,num_1|1|1|1|1|2|3|4,num_1|1|1|1|1|2|7,num_1|1|1|1|1|3|3|3,num_1|1|1|1|1|3|6,num_1|1|1|1|1|4|5,num_1|1|1|1|1|9,num_1|1|1|1|2|2|2|2|2,num_1|1|1|1|2|2|2|4,num_1|1|1|1|2|2|3|3,num_1|1|1|1|2|2|6,num_1|1|1|1|2|3|5,num_1|1|1|1|2|4|4,num_1|1|1|1|2|8,num_1|1|1|1|3|3|4,num_1|1|1|1|3|7,num_1|1|1|1|4|6,num_1|1|1|1|5|5,num_1|1|1|1|10,num_1|1|1|2|2|2|2|3,num_1|1|1|2|2|2|5,num_1|1|1|2|2|3|4,num_1|1|1|2|2|7,num_1|1|1|2|3|3|3,num_1|1|1|2|3|6,num_1|1|1|2|4|5,num_1|1|1|2|9,num_1|1|1|3|3|5,num_1|1|1|3|4|4,num_1|1|1|3|8,num_1|1|1|4|7,num_1|1|1|5|6,num_1|1|1|11,num_1|1|2|2|2|2|2|2,num_1|1|2|2|2|2|4,num_1|1|2|2|2|3|3,num_1|1|2|2|2|6,num_1|1|2|2|3|5,num_1|1|2|2|4|4,num_1|1|2|2|8,num_1|1|2|3|3|4,num_1|1|2|3|7,num_1|1|2|4|6,num_1|1|2|5|5,num_1|1|2|10,num_1|1|3|3|3|3,num_1|1|3|3|6,num_1|1|3|4|5,num_1|1|3|9,num_1|1|4|4|4,num_1|1|4|8,num_1|1|5|7,num_1|1|6|6,num_1|1|12,num_1|2|2|2|2|2|3,num_1|2|2|2|2|5,num_1|2|2|2|3|4,num_1|2|2|2|7,num_1|2|2|3|3|3,num_1|2|2|3|6,num_1|2|2|4|5,num_1|2|2|9,num_1|2|3|3|5,num_1|2|3|4|4,num_1|2|3|8,num_1|2|4|7,num_1|2|5|6,num_1|2|11,num_1|3|3|3|4,num_1|3|3|7,num_1|3|4|6,num_1|3|5|5,num_1|3|10,num_1|4|4|5,num_1|4|9,num_1|5|8,num_1|6|7,num_1|13,num_2|2|2|2|2|2|2,num_2|2|2|2|2|4,num_2|2|2|2|3|3,num_2|2|2|2|6,num_2|2|2|3|5,num_2|2|2|4|4,num_2|2|2|8,num_2|2|3|3|4,num_2|2|3|7,num_2|2|4|6,num_2|2|5|5,num_2|2|10,num_2|3|3|3|3,num_2|3|3|6,num_2|3|4|5,num_2|3|9,num_2|4|4|4,num_2|4|8,num_2|5|7,num_2|6|6,num_2|12,num_3|3|3|5,num_3|3|4|4,num_3|3|8,num_3|4|7,num_3|5|6,num_3|11,num_4|4|6,num_4|5|5,num_4|10,num_5|9,num_6|8,num_7|7,num_14
5,1,2002,0,0,0,0,0,0,1,0,0,0,6,0,1,0,21,0,0,0,6,1,0,56,0,1,0,21,0,6,1,126,0,0,0,6,1,0,56,0,21,6,2,252,0,1,0,21,0,6,1,126,1,0,56,21,7,462,0,0,0,6,1,0,56,0,21,6,2,252,0,6,1,126,0,56,22,12,792,0,1,0,21,0,6,1,126,1,0,56,21,7,462,0,21,6,2,252,1,126,57,27,1287,0,0,0,6,1,0,56,0,21,6,2,252,0,6,1,126,0,56,22,12,792,1,0,56,21,7,462,6,2,252,127,62,42,2002
5,2,2002,0,0,0,0,10,1,45,0,14,6,120,2,55,28,245,0,18,8,140,85,68,420,3,65,33,280,18,195,155,630,0,22,10,160,96,76,476,52,371,310,290,840,4,75,38,315,21,216,169,714,131,104,616,549,515,990,0,26,12,180,107,84,532,58,407,334,310,960,36,276,213,918,174,878,850,840,990,5,85,43,350,24,237,183,798,143,113,673,588,545,1155,82,503,403,370,1245,313,1288,1305,1310,715,0,30,14,200,118,92,588,64,443,358,330,1080,40,298,228,1003,186,938,895,880,1210,183,146,818,693,630,1540,548,500,1750,1875,1940,1960,0
5,3,2002,0,0,55,10,180,81,360,30,224,176,560,117,420,343,735,60,278,228,630,555,528,840,163,490,413,805,363,765,740,840,100,342,290,710,641,616,896,572,916,920,920,720,219,570,493,885,441,861,844,864,816,799,951,999,1020,495,150,416,362,800,737,714,962,668,1012,1034,1040,690,616,1036,1043,823,1044,908,955,970,220,285,660,583,975,529,967,958,898,928,913,1033,1113,1150,385,867,1163,1233,1255,505,1288,588,640,665,0,210,500,444,900,843,822,1038,774,1118,1158,1170,670,720,1158,1173,873,1176,1008,1085,1110,0,1143,1136,1128,1288,1365,0,1448,1500,0,0,0,0,0
5,4,2002,0,220,495,420,720,660,840,600,840,840,840,805,910,945,735,760,940,950,860,935,960,560,930,960,1010,710,1035,810,860,360,900,1020,1040,860,950,980,500,1020,600,660,680,180,1035,990,1055,665,1090,775,830,280,880,915,355,405,430,55,1020,1080,1110,840,945,980,420,1030,520,580,600,100,1080,630,685,135,720,160,175,180,0,1120,1000,1080,600,1125,720,780,180,840,880,240,280,300,0,945,315,360,375,0,400,0,0,0,0,1120,1120,1160,800,920,960,320,1020,420,480,500,0,1080,540,600,0,640,0,0,0,0,675,720,0,0,0,0,0,0,0,0,0,0,0
5,5,2002,2002,1782,1452,1572,1092,1260,756,1372,924,980,476,1078,616,686,266,1182,766,816,366,426,446,126,906,486,546,186,586,226,246,46,1002,618,662,266,314,330,74,358,94,106,110,10,744,366,416,116,450,144,158,18,174,184,24,28,30,0,832,480,518,176,212,224,32,246,42,48,50,0,270,54,60,0,64,0,0,0,0,592,256,296,56,324,72,80,0,90,96,0,0,0,0,108,0,0,0,0,0,0,0,0,0,672,352,384,96,120,128,0,144,0,0,0,0,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1,3003,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,0,0,0,1,0,0,28,0,0,0,7,0,1,0,84,0,0,0,1,0,0,28,0,7,1,0,210,0,0,0,7,0,1,0,84,0,0,28,7,1,462,0,0,0,1,0,0,28,0,7,1,0,210,0,1,0,84,0,28,7,2,924,0,0,0,7,0,1,0,84,0,0,28,7,1,462,0,7,1,0,210,0,84,28,8,1716,0,0,0,1,0,0,28,0,7,1,0,210,0,1,0,84,0,28,7,2,924,0,0,28,7,1,462,1,0,210,84,29,14,3003
6,2,3003,0,0,0,0,0,0,9,0,1,1,48,0,14,7,147,0,2,1,63,34,28,336,0,19,8,182,3,113,89,630,0,3,1,78,39,30,406,15,287,233,218,1008,0,24,9,217,3,128,95,756,60,42,602,518,482,1386,0,4,1,93,44,32,476,16,322,249,228,1218,6,179,121,1092,84,1008,961,946,1584,0,29,10,252,3,143,101,882,65,44,672,554,502,1716,24,428,305,268,1758,197,1758,1745,1735,1287,0,5,1,108,49,34,546,17,357,265,238,1428,6,194,127,1218,87,1079,1001,976,2079,87,57,869,665,572,2541,446,378,2793,2919,2974,2989,0
6,3,3003,0,0,0,0,45,9,180,1,76,48,420,21,245,168,735,4,113,75,525,405,366,1050,37,320,226,875,171,750,685,1260,10,157,108,645,509,464,1204,393,1134,1080,1060,1260,58,406,293,1036,225,909,841,1386,768,720,1428,1431,1425,990,20,209,148,781,626,574,1386,487,1346,1306,1290,1290,396,1263,1213,1458,1179,1543,1580,1590,495,85,504,370,1219,288,1086,1013,1548,920,863,1675,1728,1745,825,747,1770,1803,1810,1035,1826,1161,1230,1260,0,35,270,196,934,757,697,1597,593,1582,1553,1540,1365,486,1485,1426,1701,1380,1896,1995,2025,0,1296,1230,2106,2331,2430,0,2556,2625,0,0,0,0,0
6,4,3003,0,0,165,45,480,264,840,132,616,532,1120,399,980,889,1225,258,779,703,1225,1195,1180,1120,567,1135,1070,1260,1020,1320,1340,840,420,966,901,1330,1344,1344,1064,1338,1194,1260,1280,480,765,1302,1269,1277,1236,1389,1436,696,1482,1509,837,921,960,165,615,1174,1123,1432,1499,1517,969,1537,1139,1231,1260,285,1548,1317,1399,369,1452,424,455,465,0,990,1478,1483,1273,1470,1449,1529,489,1613,1664,628,714,755,0,1746,798,894,925,0,980,0,0,0,0,840,1400,1366,1528,1657,1696,832,1745,1057,1184,1225,0,1782,1323,1450,0,1536,0,0,0,0,1620,1716,0,0,0,0,0,0,0,0,0,0,0
6,5,3003,0,495,990,900,1260,1260,1260,1218,1386,1428,1050,1449,1260,1365,735,1452,1440,1500,960,1095,1140,420,1560,1200,1320,600,1395,720,780,180,1605,1425,1500,825,960,1005,285,1080,360,405,420,45,1596,1083,1212,438,1296,540,591,81,648,684,108,126,135,0,1680,1344,1431,648,774,816,144,891,189,216,225,0,972,243,270,0,288,0,0,0,0,1560,912,1044,252,1134,324,360,0,405,432,0,0,0,0,486,0,0,0,0,0,0,0,0,0,1680,1200,1296,432,540,576,0,648,0,0,0,0,729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,6,3003,3003,2508,1848,2058,1218,1470,714,1652,924,994,364,1134,504,574,154,1289,669,724,229,274,289,49,839,329,379,79,414,99,109,9,968,452,493,124,151,160,16,177,21,24,25,0,584,188,220,28,243,36,40,0,45,48,0,0,0,0,688,272,300,48,60,64,0,72,0,0,0,0,81,0,0,0,0,0,0,0,0,368,80,96,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,448,128,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1,3432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,0,0,0,1,0,0,0,36,0,0,0,0,0,0,8,0,1,0,0,120,0,0,0,1,0,0,0,36,0,0,8,1,0,330,0,0,0,0,0,0,8,0,1,0,0,120,0,0,0,36,0,8,1,0,792,0,0,0,1,0,0,0,36,0,0,8,1,0,330,0,1,0,0,120,0,36,8,1,1716,0,0,0,0,0,0,8,0,1,0,0,120,0,0,0,36,0,8,1,0,792,0,0,8,1,0,330,0,0,120,36,8,2,3432
7,2,3432,0,0,0,0,0,0,0,0,0,0,8,0,1,1,49,0,0,0,14,8,8,168,0,2,1,70,0,41,36,420,0,0,0,20,9,8,224,2,147,124,120,840,0,3,1,91,0,47,37,546,16,10,406,350,333,1386,0,0,0,26,10,8,280,2,168,130,122,1092,0,74,45,924,24,840,805,796,1848,0,4,1,112,0,53,38,672,17,10,462,371,340,1848,3,245,158,136,1806,80,1764,1736,1723,1716,0,0,0,32,11,8,336,2,189,136,124,1344,0,80,46,1050,24,896,827,808,2640,24,12,644,449,374,3102,248,192,3312,3396,3424,3430,0
7,3,3432,0,0,0,0,0,0,36,0,8,8,168,1,70,49,441,0,20,14,252,183,168,840,3,114,75,595,51,475,430,1260,0,36,22,356,257,232,1064,178,938,872,852,1512,6,168,106,784,69,634,572,1512,488,446,1470,1428,1404,1386,0,56,32,480,342,304,1344,228,1218,1144,1120,1680,156,1060,986,1806,936,1848,1856,1856,792,10,232,142,1008,90,814,728,1848,608,546,1890,1884,1872,1254,414,1884,1858,1846,1506,1832,1632,1688,1708,0,0,80,44,624,438,384,1680,284,1534,1440,1408,1968,192,1300,1186,2346,1104,2528,2604,2624,0,978,876,2780,2982,3058,0,3184,3240,0,0,0,0,0
7,4,3432,0,0,0,0,120,36,420,8,224,168,840,91,595,476,1225,32,356,282,1050,925,880,1400,173,800,670,1400,585,1350,1310,1260,80,524,434,1280,1176,1136,1456,1072,1526,1540,1540,840,290,1043,911,1568,819,1581,1569,1134,1568,1556,1288,1359,1385,330,160,736,632,1538,1476,1448,1456,1398,1611,1674,1690,540,1332,1758,1811,666,1848,736,770,780,0,450,1332,1207,1737,1110,1851,1886,876,1937,1956,1072,1176,1220,0,1989,1302,1416,1450,0,1520,0,0,0,0,280,1000,884,1832,1833,1824,1408,1790,1708,1856,1900,0,1728,2052,2200,0,2304,0,0,0,0,2430,2544,0,0,0,0,0,0,0,0,0,0,0
7,5,3432,0,0,330,120,840,546,1260,336,1064,980,1400,819,1400,1365,1225,624,1300,1250,1400,1465,1480,840,1125,1510,1535,1085,1545,1215,1270,420,960,1524,1514,1340,1461,1496,616,1562,736,800,820,120,1440,1566,1654,876,1707,1026,1094,204,1180,1228,260,294,310,0,1320,1712,1748,1196,1364,1416,344,1516,434,484,500,0,1620,540,590,0,624,0,0,0,0,1740,1544,1698,574,1800,714,780,0,870,920,0,0,0,0,1026,0,0,0,0,0,0,0,0,0,1680,1840,1928,944,1150,1216,0,1356,0,0,0,0,1512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,6,3432,0,792,1386,1344,1512,1638,1260,1680,1512,1596,840,1715,1106,1239,441,1824,1388,1482,636,753,792,168,1641,882,1005,267,1089,333,366,36,1800,1164,1258,412,499,528,64,582,84,96,100,0,1440,612,712,112,783,144,160,0,180,192,0,0,0,0,1632,864,948,192,240,256,0,288,0,0,0,0,324,0,0,0,0,0,0,0,0,1136,320,384,0,432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1344,512,576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,7,3432,3432,2640,1716,1968,960,1212,456,1408,624,680,176,806,260,302,50,952,368,404,80,98,104,8,490,124,146,14,162,18,20,0,592,184,204,24,30,32,0,36,0,0,0,0,256,40,48,0,54,0,0,0,0,0,0,0,0,0,320,64,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1,3003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,0,0,0,0,0,0,1,0,0,0,0,45,0,0,0,0,0,0,0,9,0,0,1,0,0,165,0,0,0,0,0,0,1,0,0,0,0,45,0,0,0,9,0,1,0,0,495,0,0,0,0,0,0,0,9,0,0,1,0,0,165,0,0,0,0,45,0,9,1,0,1287,0,0,0,0,0,0,1,0,0,0,0,45,0,0,0,9,0,1,0,0,495,0,0,1,0,0,165,0,0,45,9,1,0,3003
8,2,3003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,1,1,1,48,0,0,0,14,0,9,9,180,0,0,0,2,1,1,76,0,49,45,45,480,0,0,0,21,0,10,9,264,2,1,188,168,165,990,0,0,0,3,1,1,104,0,56,46,45,690,0,18,10,558,3,510,497,495,1584,0,0,0,28,0,11,9,348,2,1,216,175,166,1452,0,91,54,47,1362,19,1314,1294,1288,1716,0,0,0,4,1,1,132,0,63,47,45,900,0,19,10,642,3,538,504,497,2508,3,1,328,210,175,2838,91,63,2958,2994,3002,3003,0
8,3,3003,0,0,0,0,0,0,0,0,0,0,28,0,7,7,147,0,1,1,63,48,48,420,0,19,14,245,9,190,180,840,0,3,2,113,80,76,616,53,518,486,480,1260,0,36,22,378,12,290,267,1134,211,194,1050,1008,993,1386,0,6,3,178,117,106,882,68,756,706,694,1554,36,622,575,1596,540,1596,1589,1586,924,0,58,31,546,15,405,360,1554,269,236,1512,1477,1460,1386,147,1435,1390,1376,1596,1348,1680,1708,1715,0,0,10,4,258,159,138,1218,84,1029,942,918,2058,42,788,694,2352,624,2464,2499,2506,0,498,418,2674,2793,2828,0,2912,2940,0,0,0,0,0
8,4,3003,0,0,0,0,0,0,84,0,28,28,336,7,182,147,735,1,78,63,525,440,420,1120,24,320,255,980,210,890,850,1260,5,156,121,764,658,628,1316,562,1302,1278,1268,1008,55,508,410,1260,342,1194,1156,1260,1114,1086,1358,1386,1390,462,15,269,208,1068,953,916,1484,839,1554,1565,1564,714,753,1607,1613,840,1620,896,917,922,0,105,757,621,1596,522,1600,1584,1092,1577,1562,1274,1351,1377,0,1533,1477,1559,1580,0,1636,0,0,0,0,35,425,331,1453,1338,1296,1652,1197,1911,2014,2040,0,1071,2196,2299,0,2376,0,0,0,0,2502,2584,0,0,0,0,0,0,0,0,0,0,0
8,5,3003,0,0,0,0,210,84,630,28,406,336,1050,217,875,770,1225,108,645,565,1225,1175,1150,1050,415,1125,1045,1225,990,1275,1280,630,260,931,856,1345,1359,1354,854,1363,959,1000,1010,210,690,1368,1340,1113,1317,1224,1261,336,1331,1358,406,441,455,0,500,1264,1213,1378,1477,1500,532,1562,637,686,700,0,1620,756,805,0,840,0,0,0,0,1050,1588,1647,833,1683,987,1050,0,1155,1204,0,0,0,0,1323,0,0,0,0,0,0,0,0,0,840,1640,1636,1288,1505,1568,0,1722,0,0,0,0,1890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,6,3003,0,0,462,210,1008,756,1260,546,1204,1162,1120,1071,1260,1295,735,930,1339,1347,945,1041,1068,336,1341,1165,1250,490,1308,576,614,84,1290,1365,1418,695,800,832,140,899,175,194,200,0,1506,951,1063,231,1143,285,310,0,345,364,0,0,0,0,1560,1240,1327,376,455,480,0,534,0,0,0,0,594,0,0,0,0,0,0,0,0,1512,600,704,0,783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1680,928,1032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
