theta_idx_l,theta_idx_m,den,num_1|1|1|1|1|1|1|1|1|1,num_1|1|1|1|1|1|1|1|2,num_1|1|1|1|1|1|1|3,num_1|1|1|1|1|1|2|2,num_1|1|1|1|1|1|4,num_1|1|1|1|1|2|3,num_1|1|1|1|1|5,num_1|1|1|1|2|2|2,num_1|1|1|1|2|4,num_1|1|1|1|3|3,num_1|1|1|1|6,num_1|1|1|2|2|3,num_1|1|1|2|5,num_1|1|1|3|4,num_1|1|1|7,num_1|1|2|2|2|2,num_1|1|2|2|4,num_1|1|2|3|3,num_1|1|2|6,num_1|1|3|5,num_1|1|4|4,num_1|1|8,num_1|2|2|2|3,num_1|2|2|5,num_1|2|3|4,num_1|2|7,num_1|3|3|3,num_1|3|6,num_1|4|5,num_1|9,num_2|2|2|2|2,num_2|2|2|4,num_2|2|3|3,num_2|2|6,num_2|3|5,num_2|4|4,num_2|8,num_3|3|4,num_3|7,num_4|6,num_5|5,num_10
6,6,210,210,140,70,85,25,35,5,44,8,9,0,12,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,0,0,0,1,0,0,0,36,0,0,0,0,0,0,8,0,1,0,0,120
7,2,120,0,0,0,0,0,0,0,0,0,0,4,0,1,1,21,0,0,0,10,8,8,56,0,2,1,42,0,37,36,84,0,0,0,16,9,8,112,2,119,120,120,0
7,3,120,0,0,0,0,0,0,10,0,4,4,36,1,24,21,63,0,12,10,60,57,56,56,3,48,43,77,39,83,84,0,0,24,18,104,111,112,0,118,0,0,0,0
7,4,120,0,0,0,0,20,10,50,4,40,36,60,27,65,64,35,16,64,62,50,55,56,0,55,70,76,0,81,0,0,0,40,96,102,0,0,0,0,0,0,0,0,0
7,5,120,0,0,35,20,60,55,50,48,60,62,20,68,30,34,0,72,44,48,0,0,0,0,62,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0
7,6,120,0,56,63,72,36,49,10,60,16,18,0,24,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,7,120,120,64,22,28,4,6,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,0,0,0,0,0,0,1,0,0,0,0,45
8,2,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,1,1,16,0,0,0,10,0,9,9,36,0,0,0,2,1,1,44,0,45,45,45,0
8,3,45,0,0,0,0,0,0,0,0,0,0,6,0,3,3,21,0,1,1,17,16,16,28,0,11,10,35,9,36,36,0,0,3,2,43,44,44,0,45,0,0,0,0
8,4,45,0,0,0,0,0,0,10,0,6,6,24,3,22,21,21,1,18,17,27,28,28,0,12,34,35,0,36,0,0,0,5,42,43,0,0,0,0,0,0,0,0,0
8,5,45,0,0,0,0,15,10,25,6,25,24,15,23,20,21,0,20,26,27,0,0,0,0,33,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0
8,6,45,0,0,21,15,24,26,10,27,14,15,0,19,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,7,45,0,28,21,26,6,9,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,8,45,45,17,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10
9,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,1,9,0,0,0,0,0,0,10,0,10,10,10,0
9,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,2,2,8,0,1,1,9,1,9,9,0,0,0,0,10,10,10,0,10,0,0,0,0
9,4,10,0,0,0,0,0,0,0,0,0,0,4,0,3,3,7,0,2,2,8,8,8,0,1,9,9,0,9,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0
9,5,10,0,0,0,0,0,0,5,0,4,4,6,3,7,7,0,2,8,8,0,0,0,0,9,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
9,6,10,0,0,0,0,6,5,5,4,6,6,0,7,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,7,10,0,0,7,6,4,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,8,10,0,8,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,9,10,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0
10,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,1,1,0,1,0,0,0,0
10,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
10,5,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
10,6,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,7,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,8,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,9,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
